Cliente_ID,Itens
1,"Pão, Manteiga, Leite, Queijo, Café, Açúcar"
2,"Pão, Queijo, Café, Leite, Presunto"
3,"Manteiga, Leite, Pão, Queijo, Tomate, Alface"
1,"Café, Pão, Manteiga, Presunto, Leite, Queijo"
2,"Pão, Leite, Manteiga, Queijo, Café, Açúcar"
4,"Presunto, Queijo, Café, Pão, Manteiga, Leite"
5,"Pão, Queijo, Manteiga, Café, Leite"
3,"Café, Queijo, Manteiga, Pão, Presunto"
6,"Leite, Pão, Manteiga, Queijo, Café, Açúcar"
7,"Queijo, Pão, Café, Manteiga, Presunto, Leite"
1,"Manteiga, Leite, Pão, Queijo, Café, Açúcar"
8,"Pão, Manteiga, Queijo, Leite, Café, Presunto"
2,"Pão, Café, Leite, Queijo, Manteiga, Açúcar"
4,"Queijo, Presunto, Pão, Leite, Café, Manteiga"
5,"Café, Pão, Queijo, Manteiga, Açúcar, Leite"
6,"Pão, Leite, Queijo, Manteiga, Café, Açúcar"
7,"Pão, Queijo, Leite, Manteiga, Presunto, Café"
2,"Queijo, Manteiga, Pão, Leite, Café, Açúcar"
8,"Café, Pão, Queijo, Manteiga, Leite, Açúcar"
3,"Leite, Pão, Queijo, Manteiga, Presunto, Café"
4,"Leite, Pão, Queijo, Manteiga, Açúcar, Presunto"
5,"Queijo, Pão, Leite, Manteiga, Café, Açúcar"
1,"Manteiga, Pão, Queijo, Leite, Açúcar, Café"
6,"Café, Leite, Pão, Queijo, Manteiga, Açúcar"
7,"Pão, Queijo, Manteiga, Leite, Açúcar, Café"
8,"Queijo, Manteiga, Leite, Pão, Presunto, Café"
2,"Leite, Pão, Queijo, Café, Manteiga, Açúcar"
5,"Leite, Pão, Queijo, Café, Manteiga, Açúcar"
6,"Manteiga, Pão, Queijo, Leite, Açúcar, Café"
